run number,gen number,min,avg,max
4,33,1,10.0,10
4,34,1,10.0,10
4,35,1,10.59,69
4,36,1,10.0,10
4,37,1,10.0,10
4,38,1,10.0,10
4,39,1,10.01,11
4,40,1,10.0,10
4,41,1,10.0,10
4,42,1,10.0,10
4,43,1,10.0,10
4,44,1,10.0,10
4,45,1,10.0,10
4,46,1,10.0,10
4,47,1,10.93,103
4,48,1,10.0,10
4,49,1,10.0,10
4,50,1,10.0,10
4,51,1,10.0,10
4,52,1,10.0,10
4,53,1,10.0,10
4,54,1,10.0,10
4,55,1,10.0,10
4,56,1,10.0,10
4,57,1,10.0,10
4,58,1,10.0,10
4,59,1,10.0,10
4,60,1,10.0,10
4,61,1,10.0,10
4,62,1,10.0,10
4,63,1,10.0,10
4,64,1,10.0,10
4,65,1,10.0,10
4,66,1,10.0,10
4,67,1,10.0,10
4,68,1,10.0,10
4,69,1,10.0,10
4,70,1,10.01,11
4,71,1,10.01,11
4,72,1,10.0,10
4,73,1,10.0,10
4,74,1,10.0,10
4,75,1,10.0,10
4,76,1,10.0,10
4,77,1,10.0,10
4,78,1,10.0,10
4,79,1,10.0,10
4,80,1,10.0,10
4,81,1,10.0,10
4,82,1,10.0,10
4,83,1,10.0,10
4,84,1,10.0,10
4,85,1,10.0,10
4,86,1,10.0,10
4,87,1,10.0,10
4,88,1,10.0,10
4,89,1,10.0,10
4,90,1,10.0,10
4,91,1,10.01,11
4,92,1,10.0,10
4,93,1,10.0,10
4,94,1,10.0,10
4,95,1,10.0,10
4,96,1,10.0,10
4,97,1,10.67,77
4,98,1,10.0,10
4,99,1,10.0,10
5,0,1,6.32,9
5,1,1,7.81,10
5,2,1,8.56,10
5,3,1,8.84,9
5,4,1,8.93,10
5,5,1,9.13,10
5,6,1,9.49,10
5,7,1,9.81,10
5,8,1,9.9,10
5,9,1,9.94,10
5,10,1,9.95,10
5,11,1,9.98,10
5,12,1,9.99,10
5,13,1,9.99,10
5,14,1,9.97,10
5,15,1,9.99,11
5,16,1,10.0,10
5,17,1,10.0,10
5,18,1,10.01,11
5,19,1,10.0,10
5,20,1,10.0,10
5,21,1,10.0,10
5,22,1,10.0,10
5,23,1,10.0,10
5,24,1,10.0,10
5,25,1,10.0,10
5,26,1,10.01,11
5,27,1,10.0,10
5,28,1,10.0,10
5,29,1,10.0,10
5,30,1,10.0,10
